dataset Name (DN),GNN,Cleaned DN,Test_auc,Test_acc,Test_ap,conf_mtrx,train_auc,train_acc,train_ap
,,,,,,,,,
C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetDDlr00003beta4e10000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,DD__SGC,0.6727266052558065,0.5497848379417689,0.6910960730449165,"[[ 6803 15041]
 [ 4628 17216]]",0.7310102038161728,0.5584028527922745,0.7608099907036147
,,,,,,,,,
C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetDDlr00003beta4e10000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,DD__SGC,0.6740758404110101,0.5276277238600989,0.696863133383448,"[[ 5720 16124]
 [ 4513 17331]]",0.736032483005797,0.5318140999778752,0.7660747291950234
,,,,,,,,,
C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetDDlr00003beta4e10000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,DD__SGC,0.648177229257379,0.55074620032961,0.6661817288546814,"[[ 7235 14609]
 [ 5018 16826]]",0.7011518104814052,0.5650467873550503,0.7256416024219942
,,,,,,,,,
C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetDDlr00003beta4e10000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,DD__SGC,0.7057922601513134,0.5621681010803882,0.731327499430338,"[[ 7476 14368]
 [ 4760 17084]]",0.7674903492656735,0.5715475617215664,0.8019993443755239
,,,,,,,,,
C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetDDlr00003beta4e10000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,DD__SGC,0.7160187681651728,0.5574528474638345,0.709055764542464,"[[ 3946 17898]
 [ 1436 20408]]",0.7927254205743901,0.5663937946562203,0.7880073846638319
,,,,,,,,,
C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetDDlr00003beta4e10000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,DD__SGC,0.7076093726281557,0.5420939388390404,0.7171238924847627,"[[ 4805 17039]
 [ 2966 18878]]",0.7749873190325985,0.5489998308106772,0.7900730362245476
,,,,,,,,,
C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetDDlr00003beta4e10000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,DD__SGC,0.6703764989804182,0.5517304522981139,0.6904358344453363,"[[ 7232 14612]
 [ 4972 16872]]",0.7322784966123438,0.567805874773872,0.7582012032489603
,,,,,,,,,
C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetDDlr00003beta4e10000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,DD__SGC,0.6931356465471178,0.56377037172679,0.7014888405519406,"[[ 5414 16430]
 [ 2628 19216]]",0.7486839643428377,0.5714824889050848,0.7648135792095438
,,,,,,,,,
C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetDDlr00003beta4e10000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,DD__SGC,0.6843499403940398,0.5656930965024721,0.7006240095402102,"[[ 7233 14611]
 [ 4363 17481]]",0.7473895356267042,0.576161224410115,0.7726037161256667
,,,,,,,,,
C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetDDlr00003beta4e10000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,DD__SGC,0.6635302488763442,0.5336476835744369,0.6843104552753236,"[[ 6088 15756]
 [ 4618 17226]]",0.728604333139135,0.5395707797024871,0.759163163418301
,,,,,,,,,
C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetgridlr00003beta1e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,grid__SGC,0.6396664199849503,0.506857855361596,0.6353624882845169,"[[ 24 778]
 [ 13 789]]",0.8023894237012819,0.5162530583711988,0.782811589568229
,,,,,,,,,
C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetgridlr00003beta1e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,grid__SGC,0.6272644448728553,0.5081047381546134,0.6021788212117397,"[[ 28 774]
 [ 15 787]]",0.8196091515531279,0.5218455085634394,0.7951676916435118
,,,,,,,,,
