dataset,Model,Cleaned DN,Test_auc,Test_acc,Test_ap,,dataset,Model,Cleaned DN,Test_auc,Test_acc,Test_ap
grid,GAT,grid__GAT,0.6932055571393494,0.6434467265725288,0.6530299620845907,,C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetgridlr0001beta1e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,GAT,grid__GAT,0.690183444655841,0.6291598023064251,0.6790471519731487
grid,GCN,grid__GCN,0.6805769699146894,0.6265468549422337,0.6255449605220523,,C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetgridlr0001beta1e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,GCN,grid__GCN,0.7259283510065165,0.6241350906095552,0.7069944587257473
grid,GIN,grid__GIN,0.598906201130115,0.5565211810012838,0.5566146940859354,,C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetgridlr0001beta1e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,GIN,grid__GIN,0.5872218746692215,0.5461285008237232,0.5671374259105487
grid,SGC,grid__SGC,0.6475770094637641,0.5417265725288832,0.5982250133677933,,C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetgridlr0001beta1e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,grid__SGC,0.6993439729786212,0.5282537067545304,0.6876951986009192
grid_1,GAT,grid__GAT,0.6932055571393494,0.6434467265725288,0.6530299620845907,,C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetgridlr00003beta1e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,GAT,grid__GAT,0.644801338300135,0.5962593516209477,0.6416240655317559
grid_1,GCN,grid__GCN,0.6805769699146894,0.6265468549422337,0.6255449605220523,,C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetgridlr00003beta1e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,GCN,grid__GCN,0.6653862538168296,0.5824189526184538,0.6571452290046536
grid_1,GIN,grid__GIN,0.598906201130115,0.5565211810012838,0.5566146940859354,,C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetgridlr00003beta1e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,GIN,grid__GIN,0.539931810125559,0.5185785536159602,0.5321424582779486
grid_1,SGC,grid__SGC,0.6475770094637641,0.5417265725288832,0.5982250133677933,,C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetgridlr00003beta1e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,grid__SGC,0.6351470140111068,0.5119077306733166,0.6233865624493766
IMDBBINARY,GAT,IMDBBINARY__GAT,0.5035627111333787,0.5024611660278395,0.5018010926367455,,C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetIMDBBINARYlr00001beta4e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,GAT,IMDBBINARY__GAT,0.5779758573388204,0.5443703703703704,0.5465881935866376
IMDBBINARY,GCN,IMDBBINARY__GCN,0.6671975580673639,0.5016239661085333,0.6516282209929065,,C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetIMDBBINARYlr00001beta4e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,GCN,IMDBBINARY__GCN,0.7146957475994513,0.522,0.7258056391998595
IMDBBINARY,GIN,IMDBBINARY__GIN,0.7002735589820693,0.5206475690942102,0.7464762370545722,,C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetIMDBBINARYlr00001beta4e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,GIN,IMDBBINARY__GIN,0.6822153086419753,0.5314074074074074,0.7290274106351903
IMDBBINARY,SGC,IMDBBINARY__SGC,0.5733065387142824,0.5377446035908816,0.5884574442388301,,C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetIMDBBINARYlr00001beta4e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,IMDBBINARY__SGC,0.6838781893004116,0.526888888888889,0.7014292614061788
IMDBBINARY_1,GAT,IMDBBINARY__GAT,0.5035627111333787,0.5024611660278395,0.5018010926367455,,C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetIMDBBINARYlr00003beta20e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,GAT,IMDBBINARY__GAT,0.6585143270842859,0.6047325102880658,0.60309708176927
IMDBBINARY_1,GCN,IMDBBINARY__GCN,0.6671975580673639,0.5016239661085333,0.6516282209929065,,C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetIMDBBINARYlr00003beta20e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,GCN,IMDBBINARY__GCN,0.7422674389066708,0.5375514403292182,0.7505451696179313
IMDBBINARY_1,GIN,IMDBBINARY__GIN,0.7002735589820693,0.5206475690942102,0.7464762370545722,,C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetIMDBBINARYlr00003beta20e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,GIN,IMDBBINARY__GIN,0.7663616233975172,0.6323045267489712,0.791458520965364
IMDBBINARY_1,SGC,IMDBBINARY__SGC,0.5733065387142824,0.5377446035908816,0.5884574442388301,,C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetIMDBBINARYlr00003beta20e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,IMDBBINARY__SGC,0.6630798150688412,0.5645061728395062,0.6674412973096253
lobster,GAT,lobster__GAT,0.33158104568832847,0.38204747774480713,0.41179349319487824,,C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetlobsterlr0001beta1e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,GAT,lobster__GAT,0.46539195282691637,0.42204301075268813,0.490548625768956
lobster,GCN,lobster__GCN,0.28504986200263965,0.3384767556874381,0.3984476143437986,,C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetlobsterlr0001beta1e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,GCN,lobster__GCN,0.4718132154006244,0.4725806451612904,0.5159998054373778
lobster,GIN,lobster__GIN,0.39627084268887924,0.4321463897131553,0.44702520171681337,,C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetlobsterlr0001beta1e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,GIN,lobster__GIN,0.5296060238177824,0.4983870967741935,0.5451149178728303
lobster,SGC,lobster__SGC,0.37592589331400095,0.4399604352126608,0.4571433551061048,,C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetlobsterlr0001beta1e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,lobster__SGC,0.5012761590935367,0.4911290322580646,0.5342753536753724
MUTAG,GAT,MUTAG__GAT,0.4959226212077225,0.4957831325301205,0.5111503024232589,,C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetMUTAGlr00001beta4e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,GAT,MUTAG__GAT,0.5322036293741873,0.5342105263157895,0.541283971143773
MUTAG,GCN,MUTAG__GCN,0.48424458375671364,0.5015813253012048,0.48164807431302525,,C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetMUTAGlr00001beta4e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,GCN,MUTAG__GCN,0.5651704449092657,0.5639097744360904,0.5414507253296119
MUTAG,GIN,MUTAG__GIN,0.4023895657932937,0.46212349397590363,0.421217843831058,,C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetMUTAGlr00001beta4e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,GIN,MUTAG__GIN,0.4161767199954774,0.44661654135338347,0.43735165065492393
MUTAG,SGC,MUTAG__SGC,0.5149496706706345,0.5058734939759036,0.5008532016694605,,C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetMUTAGlr00001beta4e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,MUTAG__SGC,0.5977104415173271,0.5082706766917292,0.5817754652902407
